"comm_code","comm_name","hh_tot","hh_reg","totpop","males","females","density","urban","fheads","sexratio","avg_hs","malbl15","mal1019","mal1564","mal65ov","fembl15","fem1019","fem1564","fem65ov","popbl15","pop1019","pop1564","pop65ov","fem1549","totmed","malmed","femmed","dependency","cw_ratio","buddhist","muslim","christian","oth_rel","smam_t","smam_m","smam_f","t_nevmar","t_married","t_widow","t_divsep","m_nevmar","m_married","m_widow","m_divsep","f_nevmar","f_married","f_widow","f_divsep","t_lit15","m_lit15","f_lit15","t_attend","m_attend","f_attend","m_noeduc","m_pnc","m_prim","m_lowsec","m_sec","m_high","f_noeduc","f_pnc","f_prim","f_lowsec","f_sec","f_high","m25_no","m25_pnc","m25_prim","m25_ls","m25_sec","m25_high","f25_no","f25_pnc","f25_prim","f25_ls","f25_sec","f25_high","m_see","m_speak","m_hear","m_move","m_mental","f_see","f_speak","f_hear","f_move","f_mental","t_active","m_active","f_active","t_primsec","t_secsec","t_tersec","m_primsec","m_secsec","m_tersec","f_primsec","f_secsec","f_tersec","t_uer","m_uer","f_uer","d_own","d_rent","d_free","d_oth","l_city","l_gen","l_cg","l_kero","l_cand","l_batt","l_oth","f_fire","f_char","f_keros","f_lpg","f_elec","f_none","f_oth","t_not","t_sew","t_sep","t_pit","t_oth","w_piped","w_tubed","w_protect","w_unprot","w_rain","w_spring","w_bought","w_other","wl_within","wl_near","wl_away","area","note","last_update"
"171006","Chreav","2686","2652","14054","7119","6935","213.7","0","20.3","102.7","5.1","2395","1721","4614","110","2254","1567","4472","209","4649","3288","9086","319","3940","20.6","20.4","20.9","54.7","400","13980","31","41","2","24.6","26.4","22.8","37.4","58.4","3","1.3","42.7","55.8","0.8","0.7","32","60.9","5.2","1.9","78.61","84.93","72.23","28.4","30.6","26.15","494","1901","1293","1055","89","235","383","1985","1100","735","50","88","134","872","557","565","70","155","221","868","436","279","30","45","47","8","29","47","11","47","17","18","21","14","55.94","61.46","50.29","45.75","14.44","39.81","40.06","20.32","39.62","53","6.95","40.05","3.16","2.42","4.09","2059","402","159","32","1681","52","58","416","19","422","4","1906","177","13","535","10","6","5","1004","812","796","28","12","396","1990","84","30","12","32","10","98","2120","449","83","65.7741","","2014-03-28 17:48:52"
"040503","Chres","2081","2080","9216","4516","4700","246.1","0","17.9","96.1","4.4","1685","1207","2617","214","1574","1078","2866","260","3259","2285","5483","474","2403","20.2","18.7","22.1","68.1","417","7138","2076","1","1","23.7","23.9","23.5","30.6","61.8","4.9","2.7","34.1","63.3","1.5","1.1","27.4","60.3","8","4.3","69.65","80.08","60.2","27.16","29.84","24.64","23","1691","919","387","6","1","30","1644","728","190","7","0","10","776","356","169","4","1","20","813","223","65","3","0","26","4","5","65","14","22","3","9","34","18","66.77","64.95","68.48","90.14","4.47","5.4","89.19","3.62","7.19","90.99","5.22","3.79","1","0.53","1.41","2047","2","31","0","31","9","3","1705","4","328","0","2052","10","11","6","0","1","0","1845","66","96","73","0","24","360","140","1465","2","38","0","51","1019","553","508","37.4548","","2014-03-28 17:48:52"
"140502","Chres","3085","3078","12882","6184","6698","294.4","0","43.7","92.3","4.2","2470","1703","3438","276","2281","1343","4058","359","4751","3046","7496","635","3296","21.4","17.7","24.7","71.9","393.2","12880","0","2","0","22.7","24.4","21.4","25.2","67","5.7","2","31.6","65.5","1.9","0.9","19.9","68.3","8.9","2.9","80.97","92.57","71.22","35.43","41.89","29.6","217","2200","1457","828","32","10","233","2679","1080","386","5","2","100","988","751","407","21","8","169","1480","435","183","1","1","43","20","6","33","12","44","18","15","19","10","62.65","56.69","67.98","93.21","0.38","6.41","88.51","0.41","11.08","96.71","0.36","2.93","0.12","0.24","0.03","3038","12","27","1","96","25","67","469","26","2394","1","3007","6","1","14","5","20","25","2665","112","36","49","216","109","2881","19","10","29","7","0","23","2333","626","119","43.7513","","2014-03-28 17:48:52"
"200104","Chres","1406","1405","5582","2685","2897","106.9","0","25.8","92.7","4","979","779","1604","102","947","627","1782","168","1926","1406","3386","270","1424","21.5","19","24.5","64.9","364.5","5579","3","0","0","21.5","23.3","20","24.6","67.6","6.2","1.6","30.4","68.2","1","0.4","19.6","67","10.7","2.7","78.53","89.74","68.72","30.02","35.43","25.05","2","963","705","334","10","5","7","1171","478","99","3","1","0","395","386","178","5","4","6","661","223","37","1","0","13","3","2","25","5","7","8","3","8","3","66.35","61.77","70.57","94.68","1.59","3.74","91.5","1.32","7.18","97.24","1.8","0.96","0","0","0","1355","3","34","13","13","16","2","607","0","765","2","1383","4","1","14","0","1","2","1144","57","50","147","7","28","1303","16","28","10","9","3","8","1054","314","37","52.2299","","2014-03-28 17:48:52"
"070401","Chres","1691","1685","7179","3460","3719","303.7","0","17.7","93","4.2","1275","947","2079","106","1315","902","2236","168","2590","1849","4315","274","1897","20.1","19.3","20.8","66.4","371.6","7172","0","7","0","22.2","23.3","21.2","25.7","67.4","4.7","2.1","29.5","68.1","1.2","1.1","22.3","66.8","7.9","3","76.4","85.08","68.51","30.87","33.23","28.68","187","1262","704","304","14","1","163","1366","630","123","6","0","101","573","330","152","8","0","84","676","181","42","2","0","8","1","2","15","6","8","4","1","10","9","64.65","63.82","65.42","91.64","0.25","8.11","85.73","0.32","13.95","97","0.19","2.8","0.5","0.32","0.67","1634","5","42","4","25","7","3","923","33","693","1","1647","7","21","6","0","3","1","1590","28","19","41","7","7","73","61","400","117","1021","0","6","212","673","800","23.641","","2014-03-28 17:48:52"
"020204","Chrey","3011","3005","14215","7009","7206","235.2","0","19.8","97.3","4.7","2387","1914","4344","278","2221","1691","4614","371","4608","3605","8958","649","3850","21.1","19.8","22.3","58.7","350.6","14180","11","24","0","24.7","25.9","23.6","35","57.5","5.5","2","39.4","57.7","1.9","1.1","30.9","57.4","8.9","2.8","83.32","88.97","78.09","28.65","30.36","27.02","14","2423","1747","915","117","58","28","2546","1574","789","83","19","8","1054","865","464","80","22","21","1273","684","366","41","3","28","7","6","100","22","38","11","8","62","21","55.96","62.91","49.38","62.73","13.55","23.73","60.45","15.76","23.79","65.47","10.87","23.65","2.44","2.42","2.47","2859","9","125","12","247","88","141","1491","9","1028","1","2720","187","16","69","3","10","0","1295","395","1223","89","3","77","199","74","549","29","1268","809","0","714","1510","781","60.4344","","2014-03-28 17:48:52"
"020605","Chrey","2242","2238","11183","5447","5736","22.7","0","31.6","95","5","2189","1544","3052","206","1984","1473","3404","348","4173","3017","6456","554","2786","18.9","17.5","20.4","73.2","429.6","11155","25","3","0","24.4","25.7","23.2","34.5","55.8","7","2.6","39","58","1.7","1.3","30.7","53.9","11.6","3.8","75.82","85.64","67.3","28.55","30.18","27.04","17","2224","1048","425","53","5","19","2331","869","272","21","0","7","915","469","224","47","4","10","1053","322","98","19","0","29","5","7","90","22","22","6","9","59","20","58.79","61.47","56.35","82.64","3.92","13.43","80.96","5.11","13.93","84.33","2.74","12.93","1.42","1.01","1.83","2136","8","91","3","307","8","2","1234","8","678","1","2103","118","3","11","0","1","2","1729","121","362","22","4","16","46","119","730","228","692","199","208","565","673","1000","491.674","","2014-03-28 17:48:52"
"141303","Chrey","2674","2667","10360","4761","5599","220.8","0","41.1","85","3.9","1689","1047","2853","219","1653","1044","3693","253","3342","2091","6546","472","3045","23.5","21.9","24.7","58.3","357","10347","12","1","0","21.8","23.7","20.5","22.2","70.4","5.5","2","25.4","72.7","1.4","0.5","19.6","68.7","8.6","3.1","67.55","81.51","56.69","23.04","26.54","20.15","21","1574","1217","411","16","7","28","1961","850","161","1","2","16","830","653","253","13","6","24","1048","265","81","0","0","16","9","5","35","5","12","3","9","20","7","70.04","68.48","71.31","93.76","1.35","4.89","90.2","2","7.8","96.56","0.84","2.59","0.24","0.11","0.35","2598","3","43","23","103","4","11","618","6","1925","0","2625","21","1","7","1","11","1","2322","45","122","148","30","68","2571","12","5","0","1","0","10","1838","642","187","46.922","","2014-03-28 17:48:52"
"140304","Chrey","1463","1460","5550","2591","2959","241","0","38.4","87.6","3.8","1004","686","1454","133","1041","523","1712","206","2045","1209","3166","339","1328","22.4","18.5","25.9","75.3","489.5","5549","1","0","0","22.5","23.6","21.2","22.9","66.1","8.1","2.9","30","66.5","2.1","1.4","17","65.8","13","4.1","80.91","93.19","70.75","31.6","37.12","26.81","0","954","641","347","12","2","8","1247","453","134","0","0","0","444","355","187","10","0","5","712","241","73","0","0","7","3","3","14","2","17","2","4","15","0","64.59","59.86","68.67","96.1","0.2","3.69","92.73","0.31","6.96","98.65","0.12","1.24","0.13","0.16","0.12","1439","4","17","0","25","8","2","589","5","831","0","1439","2","4","3","1","11","0","1277","55","90","38","0","53","1354","22","2","8","19","1","1","969","324","167","23.0278","","2014-03-28 17:48:52"
"040604","Chrey Bak","2240","2233","10128","4658","5470","225.1","0","30.8","85.2","4.5","1758","1229","2699","201","1760","1255","3365","345","3518","2484","6064","546","2738","20.7","19.1","22.1","67","371.1","10067","11","44","6","24.1","25.2","23.4","32.8","57.4","7.4","2.4","35.7","61.9","1.7","0.8","30.6","53.9","11.9","3.7","83.96","90.86","78.57","29.86","33.42","26.88","18","1519","1163","682","71","18","21","1909","1271","522","46","8","9","659","546","400","43","11","15","1007","498","262","22","4","20","11","5","77","13","23","5","9","49","17","63.17","61.44","64.62","67.59","17.24","15.17","65.93","12.17","21.89","68.9","21.24","9.87","0.33","0.5","0.2","2186","14","30","3","169","45","5","1042","4","965","3","2131","74","5","19","0","4","0","1786","160","264","12","11","46","1494","126","375","2","9","6","175","1218","669","346","44.9968","","2014-03-28 17:48:52"
