"old_shape_id","map_id","developer","adjustment_classification","dev_nationality","dev_address","intended_purpose","inv_intention","contract_duration_years","original_size_hectare","size_reference","contracting_authority","director","director_nationality","contract_date","sub_decree_granting_date","province","district","commune","municipality","land_conv","legal_documents","land_utilization_plan","eia_status","data_classification","reference","last_update","language","published_status"
"500","elc_gdc_14","7 Makara Phary Co. Ltd. (previously Heng Development Co. Ltd.)","Downsized after revocation","Cambodian","35 St.118, Sangkat Mitta Pheap, Khan 7 Makara, Phnom Penh","Agro-industry","Rubber","0","8654","LICADHO","Not found","Kim Sophary","Not found","Not found","Not found","Ratanakiri","Andoung Meas","Not found","Not found","Not found","<ul> <li>Letter 07/03 dated 17 July 2006 by Company requesting for 10,000 hectares of land concession located in Andong Meas District, Rattanakiri Province.</li> <li>Letter No. 4879 KSK dated 19 September 2006 by Ministry of Agriculture, Forestry, and Fisheries on the request land concession 10,000 hectares located in Andong Meas District, Rattanakiri Province for investment in Agro-industry and other trees.</li> <li>Minute dated 27 July 2006 on study and evaluation on 10,000 hectares of land concession located in Andong Meas District, Rattanakiri Province for investment in Agro-industry and other trees.</li> <li>Report dated 03 August 2006 on the result of study and evaluation on 10,000 hectares of land concession located in Andong Meas District, Rattanakiri Province for investment in Agro-industry and other trees.</li> <li>Letter No. 1603 SCN dated 28 September 2006 by Council Minister on the principle approval for 8,654 hectares of land concession located in Andong Meas District, Rattanakiri Province for investment in Agro-industry and other trees.</li> <li>Letter No. 1503/139 KSK.NP.PK dated 22 March 2006 by Ministry of Agriculture, Forestry, and Fisheries on the request of Full Power Delegation for signing contract on 8,654 hectares of land concession.</li> <li>Letter No. 33 SBT dated 29 March 2006 by Royal Government on the full power delegation to Minister of Ministry of Agriculture, Forestry, and Forestry to sign the contract with company.</li> <li>Minute dated 28 February 2006 on study for identification of boundary, investigate on concerned area in land concession 8,654 hectares located in Andong Meas District, Rattanakiri Province for investment in Agro-industry and other trees.</li> <li>Report dated 06 March 2006 on the result of study for identification of boundary, investigate on concerned area in land concession 8,654 hectares located in Andong Meas District, Rattanakiri Province for investment in Agro-industry and other trees.</li> <li>Receipt No. 21069 dated 27 April 2006 by National Bank of Cambodia.</li> <li>Signed the contract on 09 June 2006 with Ministry of Agriculture, Forestry, and Fisheries</li> </ul>
","Included in master plan","Not found","Government data partial","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Statistics_on_Cambodia_rubber_plantation_2013_MAFF__23.04.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_increasing_pressure_welthungerhilfe__00.10.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Heng_Development__21.06.2011.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Statistics_on_Cambodia_rubber_plantation_2013_MAFF__23.04.2014.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Cambodia_increasing_pressure_welthungerhilfe__00.10.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Heng_Development__21.06.2011.pdf;</ul>","2015-10-05 00:00:00","English","1"
"182","elc_gdc_255","Sok Heng Company Ltd.","Downsized after revocation","Cambodian","Phum 2, Veal Vong Commune, Kampong Cham District, Kampong Cham Province, Cambodia","Agro-industry","Acacia;Teak;Other crops","0","7172","MAFF","MAFF","Ly Sok Heng","Cambodian","2006-01-27","Not found","Stung Treng","Sesan","Not found","Not found","Not found","Not found","Not found","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sok_Heng_Company_Limited__05.06.2014.pdf‏;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sok_Heng_Company_Limited_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sok_Heng__25.11.2005.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sok_Heng_Company_Limited__05.06.2014.pdf‏;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sok_Heng_Company_Limited_in_MAFF_Statistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sok_Heng__25.11.2005.pdf;</ul>","2015-10-05 00:00:00","English","1"
"8","elc_gdc_13","World Tristar Entertainment (Cambodia) Co. Ltd.","Downsized after revocation","Cambodian","93Eo St. 130, Sangkat Phsar Chas, Khan Doun Penh, Phnom Penh, Cambodia","Agro-industry; Processing factory","Corn;Processing plant","70","9800","MAFF","MAFF","Kim Huot","Cambodian","2005-04-21","Not found","Kampot","Chhouk","Not found","Not found","Not found","<ul><li>Minute of study and evaluation on proposal land concession 10,000 hectares by World Tristar Entertainment (Cambodia) Co. Ltd., in Chhouk District, Kampot Province for investment of corn plantation and construct processing factory.</li> <li>Letter No. 1539 KSK.PPK dated 25 March 2005, Ministry of Agriculture, Forestry and Fisheries, on possible permission for providing land concession 9,800 hectares in Chhouk District, Kampot Province for investment of agricultural crops animal husbandry</li> <li>Letter No. 543 SCN dated 04 April 2005, Council of Minister, on provisional permission for providing land concession 9,800 hectares for investment of agricultural crops animal husbandry.</li> <li>Letter No. 1708 KSK.PPK dated 05 April 2005, Ministry of Agriculture, forestry and Fisheries, on request of right from the Royal Government of Cambodia for signing contract of land concession 9,800 hectares with World Tristar Entertainment (Cambodia) Co. Ltd.</li> <li>Letter No. 17 SBT dated 06 April 2005, Royal Government of Cambodia, on delegating right to Minister of Agriculture, Forestry and Fisheries for signing contract with the company.</li> <li>Signed contract with Ministry of Agriculture, Forestry and Fisheries on 21 April 2005.</li></ul>
","<ul>10 years: <li>year 1 : 500 hectares</li> <li>year 2 : 700 hectares</li> <li>year 3 : 700 hectares</li> <li>year 4 : 900 hectares</li> <li>year 5 : 900 hectares</li> <li>year 6 : 1,100 hectares</li> <li>year 7 : 1,200 hectares</li><li>year 8 : 1,200 hectares</li><li>year 9 : 1,300 hectares</li><li>year 10 : 1,300 hectares</li></ul>
","Not found","Government data complete","http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_31__24.01.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/World_Tristar_Entertainment_CAMBODIA_Co_Ltd_in_MAFF_Satistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_259__24.01.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/World_Tristar_Entertainment__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/World_Tristars_Intertainment_Cambodia_Company_Limited__07.10.2005.pdf;<ul>http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_31__24.01.2013.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/World_Tristar_Entertainment_CAMBODIA_Co_Ltd_in_MAFF_Satistic__08.06.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/Sub_Decree_No_259__24.01.2012.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/World_Tristar_Entertainment__21.06.2011.pdf;http://www.opendevelopmentcambodia.net/en/pdf-viewer/?pdf=references/World_Tristars_Intertainment_Cambodia_Company_Limited__07.10.2005.pdf;</ul>","2015-10-05 00:00:00","English","1"
